iter	Passed	Remaining
330	8828	4507
331	8853	4480
332	8879	4452
333	8909	4427
334	8936	4401
335	8963	4375
336	8988	4347
337	9021	4324
338	9049	4297
339	9078	4272
340	9109	4247
341	9135	4220
342	9163	4194
343	9191	4168
344	9215	4140
345	9240	4112
346	9265	4085
347	9290	4057
348	9317	4031
349	9340	4003
350	9368	3976
351	9402	3953
352	9430	3926
353	9461	3902
354	9489	3875
355	9518	3850
356	9544	3823
357	9571	3796
358	9601	3770
359	9626	3743
360	9653	3716
361	9681	3690
362	9709	3664
363	9733	3636
364	9762	3610
365	9788	3583
366	9814	3556
367	9840	3529
368	9870	3504
369	9897	3477
370	9928	3452
371	9960	3427
372	9989	3401
373	10018	3375
374	10040	3346
375	10065	3319
376	10091	3292
377	10115	3264
378	10140	3237
379	10164	3209
380	10188	3182
381	10213	3154
382	10237	3127
383	10261	3099
384	10283	3071
385	10310	3045
386	10331	3016
387	10358	2990
388	10381	2962
389	10404	2934
390	10431	2907
391	10455	2880
392	10481	2853
393	10507	2827
394	10530	2799
395	10556	2772
396	10582	2745
397	10611	2719
398	10637	2692
399	10661	2665
400	10685	2637
401	10711	2611
